,name,url,Main Story time,Main Story tag info,Main + Extra time,Main + Extra tag info,Completionist time,Completionist tag info,Solo time,Solo tag info,Co-Op time,Co-Op tag info,Vs. time,Vs. tag info
9535,platypus,game?id=7112,1.5,50.0,,0.0,,0.0,,,,,,
9536,pockyrocky,game?id=7127,2.0,80.0,2.0,40.0,3.0,40.0,,,,,,
9537,valkyriachronicles3unrecordedchronicles,game?id=10877,58.0,70.0,84.0,70.0,127.0,40.0,,,,,,
9538,vigilante8,game?id=10940,4.0,50.0,18.5,40.0,33.0,40.0,,,,,,
9539,wariowaresnapped,game?id=11076,23.0,50.0,,0.0,28.0,40.0,,,,,,
9540,whiteknightchroniclesii,game?id=11146,39.5,50.0,89.0,70.0,340.0,40.0,,,,,,
9541,wizardrytaleoftheforsakenland,game?id=11240,26.0,40.0,42.0,40.0,,0.0,,,,,,
9542,wwesmackdownvsraw2010,game?id=11340,13.5,50.0,20.5,50.0,32.0,40.0,,,,,,
9543,yoshi,game?id=11437,,,,,,,1.5,100.0,,,,0.0
9544,ysbookiii,game?id=11471,14.0,60.0,15.5,50.0,17.5,0.0,,,,,,
9545,yugiohgxspiritcaller,game?id=11491,48.0,50.0,69.0,40.0,96.5,40.0,,,,,,
9546,zootycoonds,game?id=11594,15.0,40.0,,0.0,,0.0,,,,,,
9548,fistpuncher,game?id=11797,5.0,40.0,8.0,40.0,,0.0,,,,,,
9549,jamespond2codenamerobocod,game?id=12452,5.0,50.0,7.0,40.0,,0.0,,,,,,
9551,farmingsimulator2013,game?id=12703,27.0,40.0,31.5,40.0,186.0,50.0,,,,,,
9552,mountaincrimerequital,game?id=12952,3.5,50.0,4.0,40.0,4.0,50.0,,,,,,
9553,starwarstiefighter,game?id=9138,17.5,50.0,23.0,50.0,35.5,40.0,,,,,,
9554,streetfighter,game?id=9224,54.0,90.0,2.5,50.0,4.5,40.0,,,,,,
9555,streetfighterexplusalpha,game?id=9234,29.0,50.0,11.5,40.0,142.0,40.0,,,,,,
9556,streetfighteriii2ndimpactgiantattack,game?id=9241,1.0,60.0,8.0,40.0,,0.0,,,,,,
9557,superpuzzlefighteriiturbo,game?id=9413,58.0,60.0,,0.0,,0.0,,,,,,
9558,talesofdestinyii,game?id=9584,30.5,80.0,39.5,100.0,59.0,40.0,,,,,,
9559,tankuniversal,game?id=9617,8.0,40.0,,0.0,9.0,40.0,,,,,,
9560,teentitans,game?id=9645,4.5,50.0,5.0,40.0,5.0,40.0,,,,,,
9561,terminalvelocity,game?id=9698,5.0,40.0,7.0,40.0,12.0,40.0,,,,,,
9562,thecrookedman,game?id=9820,4.0,70.0,5.0,50.0,7.0,40.0,,,,,,
9563,thedreammachinechapter1,game?id=9842,54.0,90.0,55.0,50.0,53.0,40.0,,,,,,
9564,thedreammachinechapter2,game?id=9843,55.0,80.0,1.0,40.0,1.0,40.0,,,,,,
9565,thelegendarystarfy,game?id=10048,9.0,70.0,12.5,60.0,17.5,60.0,,,,,,
9566,thelostworldjurassicpark,game?id=10079,8.0,40.0,8.0,40.0,13.0,40.0,,,,,,
9567,themovies,game?id=10101,30.0,50.0,,0.0,,0.0,,,,,,
9568,theskycrawlersinnocentaces,game?id=10205,6.0,50.0,8.0,40.0,,0.0,,,,,,
9569,thewalkingdeadepisode4aroundeverycorner,game?id=10256,,,,,,,2.5,100.0,,,,
9570,thewalkingdeadepisode5notimeleft,game?id=10257,,,,,,,1.5,100.0,,,,
9571,tomandjerry,game?id=10420,1.0,50.0,1.0,40.0,1.0,40.0,,,,,,
9572,tomclancysghostrecondesertsiege,game?id=10433,4.0,60.0,,0.0,4.5,40.0,,,,,,
9573,tomclancysghostreconislandthunder,game?id=10436,3.5,60.0,3.5,40.0,3.5,40.0,,,,,,
9574,tomclancysghostreconshadowwars,game?id=10438,24.5,90.0,37.0,60.0,55.5,40.0,,,,,,
9575,tomclancyshawx2,game?id=10441,8.5,60.0,11.5,40.0,,0.0,,,,,,
9576,tomclancyssplintercell3d,game?id=10458,12.0,50.0,15.0,40.0,17.5,40.0,,,,,,
9577,tonyhawksprovingground,game?id=10501,3.5,40.0,9.0,40.0,11.0,40.0,,,,,,
9578,topgear,game?id=10512,3.0,60.0,,0.0,5.5,40.0,,,,,,
9579,topgun,game?id=10515,2.0,40.0,2.0,40.0,,0.0,,,,,,
9580,populousiitrialsoftheolympiangods,game?id=7223,12.0,40.0,,0.0,,0.0,,,,,,
9581,populousthebeginning,game?id=7224,24.0,40.0,30.0,40.0,34.0,40.0,,,,,,
9582,powerstonecollection,game?id=7262,,,,,,,5.0,50.0,,0.0,,0.0
9583,prowrestling,game?id=7334,54.0,60.0,,0.0,57.0,40.0,,,,,,
9584,projectgothamracing3,game?id=7350,8.5,60.0,21.0,50.0,49.0,40.0,,,,,,
9585,pulstar,game?id=7384,1.5,50.0,,0.0,,0.0,,,,,,
9586,quarantine,game?id=7471,54.0,40.0,5.0,40.0,,0.0,,,,,,
9587,rcproam,game?id=7501,1.5,60.0,2.0,40.0,2.5,40.0,,,,,,
9588,ragethescorchersdlc,game?id=7529,2.0,80.0,2.0,50.0,3.5,50.0,,,,,,
9589,realmsofarkaniashadowsoverriva,game?id=7656,30.0,40.0,,0.0,,0.0,,,,,,
9590,residentevildeadlysilence,game?id=7737,5.5,90.0,7.0,50.0,9.0,40.0,,,,,,
9591,rez,game?id=7784,2.0,80.0,3.0,50.0,4.0,0.0,,,,,,
9592,roadrash,game?id=7862,,0.0,7.0,40.0,8.0,40.0,,,,,,
9593,runsaber,game?id=8014,51.0,70.0,,0.0,52.0,40.0,,,,,,
9594,rygarthelegendaryadventure,game?id=8035,5.5,60.0,7.0,50.0,10.0,40.0,,,,,,
9595,powerrangerslightspeedrescue,game?id=8043,3.0,40.0,,0.0,3.0,40.0,,,,,,
9596,safecrackertheultimatepuzzleadventure,game?id=8057,3.5,90.0,4.5,40.0,5.5,50.0,,,,,,
9597,samuraichamploosidetracked,game?id=8124,7.0,40.0,,0.0,,0.0,,,,,,
9598,samuraiwarriors,game?id=8137,14.5,50.0,26.0,50.0,46.0,40.0,,,,,,
9599,sawthevideogame,game?id=8162,6.5,90.0,8.5,50.0,9.0,60.0,,,,,,
9600,scoobydoomysterymayhem,game?id=8181,4.5,50.0,5.5,40.0,8.0,40.0,,,,,,
9601,segasuperstarstennis,game?id=8292,7.5,50.0,7.5,40.0,8.0,40.0,,,,,,
9602,shadowtower,game?id=8350,16.0,50.0,17.0,40.0,,0.0,,,,,,
9603,shinobi,game?id=8466,4.5,60.0,11.0,40.0,30.0,40.0,,,,,,
9604,silenthillbookofmemories,game?id=8529,18.5,50.0,31.0,40.0,140.0,40.0,,,,,,
9605,silenthunterwolvesofthepacific,game?id=8538,32.0,40.0,35.0,40.0,,0.0,,,,,,
9606,sneakking,game?id=8676,3.0,50.0,,0.0,,0.0,,,,,,
9607,soniclabyrinth,game?id=8768,1.5,50.0,,0.0,,0.0,,,,,,
9608,sonicthehedgehogtripletrouble,game?id=8797,1.5,80.0,2.5,50.0,4.5,40.0,,,,,,
9609,southpark,game?id=8830,5.5,60.0,7.0,40.0,8.0,40.0,,,,,,
9610,spaceharrierii,game?id=8852,48.0,70.0,1.0,40.0,2.0,40.0,,,,,,
9611,splatterhouse3,game?id=8972,2.0,70.0,,0.0,,0.0,,,,,,
9612,007legends,game?id=27,6.5,100.0,8.0,60.0,10.0,50.0,,,,,,
9613,007racing,game?id=29,3.0,50.0,3.0,40.0,,0.0,,,,,,
9614,3dultraminigolfadventures,game?id=71,7.0,40.0,,0.0,,0.0,,,,,,
9615,adventuretimeheyicekingwhydyoustealourgarbage,game?id=219,5.0,100.0,5.0,90.0,6.5,70.0,,,,,,
9616,alienzombiemegadeath,game?id=376,4.0,40.0,8.0,40.0,19.0,40.0,,,,,,
9617,aliensversuspredator2,game?id=378,9.5,90.0,12.5,50.0,17.5,50.0,,,,,,
9618,anno1602,game?id=488,28.0,40.0,,0.0,61.0,40.0,,,,,,
9619,assassinscreediiithetyrannyofkingwashingtondlc,game?id=658,5.0,100.0,7.0,100.0,9.0,100.0,,,,,,
9620,ateliertotoritheadventurerofarland,game?id=707,23.0,100.0,36.5,90.0,59.0,70.0,,,,,,
9621,avatarthelastairbendertheburningearth,game?id=742,5.0,60.0,5.5,50.0,5.5,60.0,,,,,,
9622,bangaiospirits,game?id=833,6.0,40.0,11.0,40.0,20.0,40.0,,,,,,
9623,blacksitearea51,game?id=1107,5.5,100.0,6.0,50.0,6.5,40.0,,,,,,
9624,bloodwilltell,game?id=1186,14.0,40.0,14.5,50.0,16.5,40.0,,,,,,
9625,bloodyroar2,game?id=1194,2.5,60.0,9.5,50.0,32.0,40.0,,,,,,
9626,bombermands,game?id=1238,4.0,60.0,,0.0,5.5,40.0,,,,,,
9627,brandish,game?id=1300,10.5,40.0,20.0,40.0,22.5,40.0,,,,,,
9628,bulletcandy,game?id=1380,,0.0,4.5,40.0,,0.0,,,,,,
9629,calling,game?id=1490,9.0,40.0,10.5,40.0,13.0,40.0,,,,,,
9630,captainamericaandtheavengers,game?id=1513,1.5,100.0,2.0,40.0,10.0,40.0,,,,,,
9631,castlevaniadraculax,game?id=1581,3.0,100.0,3.5,40.0,5.5,50.0,,,,,,
9632,chuzzle,game?id=1713,1.0,40.0,,0.0,,0.0,,,,,,
9633,cityconnection,game?id=1724,35.0,50.0,,0.0,1.0,40.0,,,,,,
9634,cladunx2,game?id=1733,,0.0,112.0,40.0,,0.0,,,,,,
9635,colinmcraerally,game?id=1798,10.0,80.0,10.5,50.0,12.0,40.0,,,,,,
9636,fossilfighterschampions,game?id=3666,24.0,50.0,30.0,40.0,42.0,40.0,,,,,,
9637,freshlypickedtinglesrosyrupeeland,game?id=3706,28.0,40.0,31.5,40.0,33.5,40.0,,,,,,
9638,galaxian,game?id=3811,16.0,50.0,20.0,40.0,,0.0,,,,,,
